_id,etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
71,1102,11,المعهد العالي للمنظومات الصناعية بقابس,Institut Supérieur des Systèmes Industriels de Gabès,issig.rnu.tn,Gabès,Public,33.84521562060112,10.096397187181456
72,1111,11,المعهد العالي للإعلامية بمدنين,Institut Supérieur d'Informatique de Medenine,isim.rnu.tn,Médenine,Public,33.36774808310267,10.508393148359648
73,1110,11,المعهد العالي للإعلامية والملتيميديا بقابس,Institut Supérieur d'Informatique et de Multimédia de Gabès,isimg.rnu.tn,Gabès,Public,33.84766806172932,10.094547622741976
74,1210,12,المدرسة الوطنية للمهندسين بقفصة,Ecole Nationale d'Ingénieurs de Gafsa,eniga.rnu.tn,Gafsa,Public,34.42956065168908,8.76567596387697
75,1201,12,كلية العلوم بقفصة,Faculté des Sciences de Gafsa,fsgf.rnu.tn,Gafsa,Public,34.42982177220428,8.764271988710924
76,1209,12,المعهد التحضيري للدراسات الهندسية بقفصة,Institut Préparatoire aux Etudes d'Ingénieurs de Gafsa,ipeig.rnu.tn,Gafsa,Public,34.42960032360303,8.75600511107746
77,1208,12,المعهد العالي لإدارة المؤسسات بقفصة,Institut Supérieur d'Administration des Entreprises de Gafsa,isaeg.rnu.tn,Gafsa,Public,34.42465689864663,8.757842945234412
78,1202,12,المعهد العالي للفنون والحرف بقفصة,Institut Supérieur des Arts et Métiers de Gafsa,isamgf.rnu.tn,Gafsa,Public,34.423443809340355,8.758085330908282
79,1205,12,المعهد العالي للدراسات التطبيقية في الإنسانيات بقفصة,Institut Supérieur des Etudes Appliquées en Humanités de Gafsa,iseahgf.rnu.tn,Gafsa,Public,34.425906780563096,8.77713385994997
80,1206,12,المعهد العالي للدراسات التطبيقية في الإنسانيات بتوزر,Institut Supérieur des Etudes Appliquées en Humanités de Tozeur,iseahtz.rnu.tn,Tozeur,Public,33.91674618831093,8.088259348864755
81,1203,12,المعهد العالي للعلوم التطبيقية والتكنولوجيا بققصة,Institut Supérieur des Sciences Appliquées et de Technologie de Gafsa,issatgf.rnu.tn,Gafsa,Public,34.43719132509519,8.745211322145801
82,1207,12,المعهد العالي لعلوم وتكنولوجيا الطاقة بقفصة,Institut Supérieur des Sciences et des Technologies de l'Energie de Gafsa,,Gafsa,Public,34.422522125288836,8.745323397495904
83,1204,12,المعهد العالي للرياضة والتربية البدنية بقفصة,Institut Supérieur du Sport et de l'Education Physique de Gafsa,issepgf.rnu.tn,Gafsa,Public,34.42333012728726,8.763114675189707
84,612,6,المدرسة العليا للفلاحة بالكاف,Ecole Supérieure d'Agriculture du Kef,esakef.agrinet.tn,Le Kef,Public,36.121378371382605,8.719752522585699
85,613,6,المدرسة العليا للمهندسين بمجاز الباب,Ecole Supérieure des Ingénieurs de Medjez El Bab,esier.agrinet.tn,Béja,Public,36.621495783107086,9.561479170152651
86,601,6,كلية العلوم القانونية والإقتصادية والتصرف بجندوبة,Faculté des Sciences Juridiques Economiques et de Gestion de Jendouba,www.fsjegj.rnu.tn,Jendouba,Public,36.50832044938573,8.76145216356464
